PersonalID,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,PerformanceRating,OverTime
323,1,4,3,1,4,Yes
324,4,4,4,2,3,Yes
325,1,2,3,4,4,No
326,3,4,1,2,3,Yes
327,4,4,1,2,3,Yes
328,2,3,1,4,3,Yes
329,4,1,4,1,4,Yes
330,3,1,2,3,3,Yes
331,4,4,4,1,4,Yes
332,1,2,3,2,3,No
333,3,2,3,3,4,No
334,3,2,3,3,3,Yes
335,1,2,2,2,3,No
336,4,2,2,4,3,Yes
337,4,4,3,1,3,Yes
338,3,1,3,4,3,No
339,3,4,1,3,3,Yes
340,3,2,2,2,3,No
341,4,3,1,3,4,No
342,2,2,4,2,3,Yes
343,3,3,3,4,3,Yes
344,3,1,1,3,4,Yes
345,4,4,3,2,4,No
346,3,2,1,3,3,Yes
347,1,3,2,3,3,Yes
348,3,2,4,1,4,Yes
349,2,1,3,2,3,Yes
350,4,1,1,3,3,Yes
351,2,1,1,2,3,No
352,2,4,1,2,4,No
353,4,3,2,4,3,No
354,1,2,1,1,3,No
355,2,4,3,1,3,Yes
356,1,3,2,2,3,No
357,1,1,2,3,3,Yes
358,4,2,2,3,4,No
359,4,2,1,2,3,No
360,3,1,2,2,3,No
361,3,1,2,4,3,No
362,4,1,1,3,4,Yes
363,1,3,3,4,3,Yes
364,3,3,1,2,3,No
365,1,3,2,3,4,No
366,4,4,2,4,3,Yes
367,1,2,2,3,4,Yes
368,1,2,1,3,3,No
369,4,2,2,2,3,No
370,2,4,1,3,3,Yes
371,2,3,1,2,4,No
372,3,3,2,1,3,No
373,2,3,3,2,3,No
374,3,1,2,2,3,Yes
375,3,4,4,2,3,Yes
376,4,1,3,3,4,No
377,1,3,3,2,3,Yes
378,1,3,1,2,3,No
379,3,1,1,3,4,No
380,1,1,1,1,3,No
381,4,2,1,1,3,No
382,2,2,2,4,3,No
383,4,2,1,3,4,Yes
384,1,1,4,2,3,Yes
385,4,3,1,1,3,No
386,1,2,2,4,4,Yes
387,3,1,4,2,3,Yes
388,4,3,4,3,4,No
389,3,4,4,3,3,Yes
390,1,2,1,3,3,Yes
391,1,3,3,1,4,No
392,4,2,1,2,4,Yes
393,2,3,2,2,3,No
394,3,4,3,4,3,No
395,2,2,3,3,4,No
396,4,1,3,4,3,No
397,4,2,3,3,3,Yes
398,2,2,3,2,3,Yes
399,2,1,4,3,4,Yes
400,4,2,1,4,3,Yes
401,1,1,3,4,3,No
402,3,2,2,3,3,Yes
403,1,3,3,3,4,No
404,1,4,4,4,3,Yes
405,2,4,1,4,3,No
406,3,2,1,2,3,Yes
407,3,3,2,3,4,No
408,4,3,2,2,3,Yes
409,1,3,1,1,3,Yes
410,3,1,3,1,3,No
411,1,2,3,4,3,No
412,2,1,2,4,3,No
413,3,3,1,1,3,No
414,1,1,4,4,4,No
415,2,3,1,2,3,Yes
416,1,4,1,4,3,No
417,1,1,2,4,4,Yes
418,2,4,4,4,3,Yes
419,4,1,1,3,3,No
420,1,3,4,4,3,No
421,1,2,3,4,4,Yes
422,3,3,1,4,4,No
423,1,3,4,1,3,No
424,3,4,2,4,4,No
425,2,4,1,3,4,No
426,1,1,3,1,3,No
427,4,1,2,1,3,No
428,2,3,2,3,4,Yes
429,1,1,4,4,3,No
430,2,3,2,3,3,Yes
431,3,4,4,3,4,Yes
432,2,3,1,3,4,No
433,3,4,4,2,4,Yes
434,1,4,3,1,3,No
435,1,4,4,4,3,No
436,4,3,2,2,3,No
437,3,4,4,2,3,No
438,2,1,2,2,4,No
439,2,2,1,1,3,No
440,3,4,2,3,4,No
441,1,1,2,1,3,Yes
442,4,1,1,3,4,No
443,4,4,1,4,4,Yes
444,1,2,2,2,3,Yes
445,2,4,3,4,3,No
446,3,4,3,4,4,No
447,3,4,2,3,4,Yes
448,1,4,3,4,3,Yes
449,3,3,4,2,4,No
450,3,3,3,1,3,No
451,2,3,4,4,3,No
452,3,2,4,1,3,No
453,4,3,3,1,3,No
454,3,3,3,4,4,No
455,1,1,3,2,4,Yes
456,2,2,2,2,4,No
457,1,3,4,2,4,Yes
458,3,2,3,2,3,Yes
459,2,1,3,2,3,No
460,4,2,4,4,4,No
461,2,2,4,2,4,No
462,2,4,1,2,4,Yes
463,2,3,3,1,3,No
464,4,2,4,3,4,Yes
465,1,4,3,3,4,No
466,3,3,2,2,4,No
467,2,3,4,3,4,No
468,4,4,2,2,4,Yes
469,4,1,4,2,3,No
470,2,4,2,4,4,No
471,2,3,3,2,3,Yes
472,4,1,2,3,4,Yes
473,2,2,3,2,3,No
474,1,1,4,3,4,No
475,2,1,4,1,3,No
476,3,1,4,4,3,Yes
477,1,2,2,3,4,No
478,1,4,1,2,4,No
479,1,1,1,2,3,No
480,4,1,2,3,4,No
481,1,1,2,2,3,Yes
482,4,2,2,3,3,Yes
483,2,1,1,3,3,No
484,4,1,3,2,3,Yes
485,3,2,1,1,3,No
486,4,3,4,4,3,No
487,1,3,2,2,4,Yes
488,4,1,1,2,3,No
489,3,3,1,2,4,No
490,1,4,2,4,3,Yes
491,4,3,4,1,3,No
492,1,2,3,3,4,No
493,4,4,1,2,4,No
494,2,2,2,3,4,Yes
495,2,3,1,4,3,No
