EmployeeID,JobID,PersonalID,MonthlyIncome,DailyRate,HourlyRate,PercentSalaryHike,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
55,3,38,2293,1357,48,12,1,1,0,0,1,Yes
56,21,39,8726,994,37,15,9,9,8,1,7,No
57,22,40,4011,721,58,23,12,12,8,3,7,No
58,23,41,19545,1360,49,12,23,22,15,15,8,Yes
60,24,42,4568,1065,72,20,10,9,5,8,7,No
61,9,43,3022,408,73,21,8,1,0,0,0,No
62,20,44,5772,1211,98,21,14,9,6,0,8,No
63,3,45,2269,1229,36,19,1,1,0,0,1,No
64,25,46,5381,626,98,13,23,1,0,0,0,Yes
65,3,47,3441,1434,50,13,2,2,2,2,2,Yes
68,1,48,5454,1488,75,21,9,4,3,1,3,No
70,26,49,9884,1097,79,13,10,4,0,2,3,No
72,1,50,4157,1443,47,19,5,2,2,0,0,No
73,27,51,13458,515,98,12,15,15,14,8,12,No
74,21,52,9069,853,71,22,9,9,8,1,8,No
75,3,49,4014,1142,30,15,4,2,2,2,2,No
76,8,53,5915,655,48,22,10,7,7,1,7,No
77,28,54,5993,1115,51,18,7,7,5,0,7,No
78,28,55,6162,427,33,22,9,9,8,7,8,No
79,22,45,2406,653,50,11,10,10,3,9,9,No
80,23,56,18740,989,43,12,29,27,3,13,8,No
81,29,57,7637,1435,99,11,28,21,16,7,9,No
83,17,58,10096,1223,59,13,17,17,14,12,8,No
84,30,4,14756,836,33,14,21,5,0,0,2,No
85,31,59,6499,1195,95,13,6,6,5,0,3,No
86,32,15,9724,1339,59,17,25,1,0,0,0,No
88,4,26,2194,664,79,13,5,3,2,1,2,No
90,9,60,3388,318,79,17,2,1,0,0,0,Yes
91,20,12,5473,1225,57,11,20,4,3,1,3,No
94,9,2,2703,1328,76,23,6,5,4,0,4,No
95,9,61,2501,1082,87,17,1,1,1,1,0,No
96,33,62,6220,548,66,17,10,10,4,0,9,No
97,3,63,3038,132,55,12,5,1,0,0,0,No
98,28,40,4424,746,61,23,11,11,7,1,8,No
100,1,64,4312,776,32,14,16,15,13,2,8,No
101,15,65,13245,193,52,14,17,0,0,0,0,No
102,15,66,13664,397,30,13,16,5,2,0,2,No
103,34,67,5021,945,80,22,16,4,2,0,2,No
104,8,68,5126,852,55,12,10,10,8,3,0,No
105,9,69,2859,1214,30,18,6,6,4,0,4,No
106,29,25,10239,111,70,14,24,1,0,1,0,No
107,35,70,5329,573,79,12,17,13,11,1,9,No
110,28,10,4325,1153,94,15,5,5,2,1,3,No
112,10,71,7260,1400,49,11,37,6,4,0,2,No
113,14,72,2322,541,62,13,3,0,0,0,0,No
116,3,73,2075,432,96,23,10,4,2,0,3,No
117,7,74,4152,288,99,19,11,11,10,10,8,No
118,29,21,9619,669,64,16,9,9,8,4,7,Yes
119,36,75,13503,530,78,22,22,22,3,11,11,No
120,1,76,5441,632,71,22,11,10,7,1,0,No
121,1,77,5209,1334,63,12,11,11,8,2,7,No
124,37,78,10673,638,40,13,21,10,9,9,5,No
125,1,69,5010,1093,87,16,12,11,8,5,7,No
126,15,79,13549,1217,60,12,16,4,3,0,3,No
128,1,80,4999,1353,33,21,4,3,2,0,2,No
129,24,81,4221,120,43,15,5,5,4,0,4,No
131,38,82,13872,682,37,13,38,37,10,1,8,No
132,39,83,2042,489,67,12,17,3,2,1,2,No
133,40,84,2073,807,63,22,7,3,2,0,2,Yes
134,9,37,2956,827,71,13,1,1,0,0,0,No
137,5,85,2926,871,66,18,1,1,0,1,0,Yes
138,33,86,4809,665,41,14,16,16,13,2,10,No
139,41,87,5163,1040,100,14,17,1,0,0,0,No
140,42,40,18844,1420,32,21,30,3,2,2,2,No
141,43,88,18172,1115,73,19,28,8,3,0,7,No
142,1,89,5744,240,46,11,6,6,4,0,3,Yes
143,9,90,2889,1280,64,11,2,2,2,2,1,No
144,3,13,2871,534,59,15,1,0,0,0,0,No
145,37,91,7484,1456,30,20,23,13,12,12,8,No
147,22,92,6074,658,66,24,9,9,7,0,6,Yes
148,44,19,17328,142,30,12,23,5,3,4,4,No
150,3,93,2774,1127,52,12,6,5,3,1,2,No
151,33,94,4505,1031,45,15,12,1,0,0,0,No
152,29,74,7428,1189,87,12,12,5,3,1,3,No
153,45,95,11631,1354,45,12,14,11,10,5,8,No
154,21,13,9738,1467,92,14,10,9,7,2,8,No
155,3,96,2835,922,39,22,7,1,0,0,0,No
158,46,97,16959,394,92,12,25,25,12,4,12,No
159,4,98,2613,1312,96,25,10,10,7,0,9,No
160,24,99,6146,750,95,13,8,7,7,0,7,No
161,9,100,4963,441,72,18,7,5,4,4,3,Yes
162,23,86,19537,684,51,13,23,20,18,15,15,No
163,1,101,6172,249,76,18,12,7,7,7,7,Yes
164,9,102,2368,841,46,19,5,5,4,4,3,No
165,17,103,10312,147,94,12,40,40,10,15,6,Yes
167,14,104,1675,528,50,19,0,0,0,0,0,Yes
169,3,36,2523,594,100,14,3,2,1,2,1,No
170,28,105,6567,470,96,14,16,15,11,5,11,No
171,4,41,4739,957,72,12,18,3,2,1,2,No
174,21,21,9208,809,77,11,16,2,2,2,1,No
175,1,106,4559,542,71,11,4,2,2,2,2,Yes
176,29,107,8189,802,96,13,12,9,7,0,7,No
177,40,108,2942,1355,61,23,8,8,7,5,7,No
178,28,109,4941,216,84,20,7,3,2,0,1,No
179,6,25,10650,1150,53,15,18,4,2,0,3,Yes
182,1,110,5902,1329,47,14,17,15,11,5,9,No
183,1,111,8639,959,41,18,6,2,2,2,2,No
184,34,112,6347,1240,48,19,12,11,9,4,7,No
190,3,113,4200,1033,41,22,10,5,4,0,4,Yes
192,9,114,3452,1316,83,13,9,6,5,0,3,No
193,33,115,4317,364,32,20,19,3,2,2,2,No
194,9,38,2632,438,75,14,5,5,4,0,4,No
195,20,116,4668,689,35,17,9,8,7,0,7,No
197,9,37,3204,201,84,14,8,3,2,2,2,No
198,3,117,2720,1427,35,13,6,5,3,1,2,No
199,47,118,17181,857,91,13,21,7,6,7,7,No
200,3,119,2238,933,94,21,7,5,0,1,4,No
201,3,120,1483,1181,79,14,1,1,0,0,0,No
202,2,121,5605,1395,54,11,20,20,7,2,13,No
204,29,122,7295,662,94,13,10,10,8,0,6,No
205,19,123,2306,1436,34,20,13,7,7,4,5,No
206,8,124,2348,194,60,18,20,17,9,0,15,No
207,21,117,8998,967,43,14,9,9,8,3,7,No
208,13,28,4319,1496,41,13,10,10,7,0,9,No
211,28,93,6132,1169,34,17,10,1,0,0,0,No
214,9,125,3346,1145,75,20,9,1,0,0,0,No
215,29,126,10855,630,67,11,15,12,11,2,11,No
216,48,127,2231,303,75,18,6,4,3,1,2,No
217,9,128,2323,1256,80,24,2,2,2,2,2,No
218,49,129,2024,691,57,18,6,2,2,2,2,No
221,9,130,2713,440,42,11,5,5,2,0,2,No
223,17,131,9439,334,83,16,12,5,3,1,4,No
224,49,132,2566,1450,79,15,1,1,1,0,1,No
226,16,61,19926,1452,53,15,21,5,4,4,4,No
227,9,133,2451,465,56,12,13,9,8,1,8,No
228,29,13,9419,1339,41,12,12,10,9,7,4,No
230,1,134,8686,702,59,22,12,8,3,0,7,No
231,9,135,3038,120,43,20,8,5,4,1,4,No
233,9,136,3058,1157,51,16,6,5,2,1,1,No
235,48,137,2325,602,100,21,1,0,0,0,0,Yes
238,5,138,2088,1480,30,12,13,8,7,7,2,No
239,39,72,3072,111,66,11,12,12,9,6,10,No
240,1,139,5006,1268,30,11,9,5,4,0,3,No
241,9,49,4257,713,67,18,19,2,2,2,2,No
242,9,140,2500,134,90,14,4,3,1,0,2,No
243,3,141,1102,303,47,22,1,1,0,1,0,Yes
244,29,142,10453,526,92,25,24,24,13,15,7,No
245,3,36,2288,1380,75,12,2,2,2,2,1,No
246,9,143,3929,140,95,23,7,4,2,0,2,No
247,9,144,2311,629,95,15,9,3,2,1,2,No
248,14,145,3140,1356,70,22,4,4,3,0,2,Yes
249,3,22,3690,328,86,15,5,3,2,0,2,No
250,28,146,4450,1084,57,11,5,4,2,1,3,No
252,9,144,2756,931,72,13,8,8,7,1,6,No
253,16,147,19033,989,46,14,21,20,8,9,9,No
254,23,24,18722,692,61,11,36,24,15,2,15,No
256,31,82,9547,1069,45,17,10,10,9,1,9,No
258,50,148,13734,313,98,18,21,7,7,1,0,No
259,16,149,19999,699,65,14,34,33,18,11,9,No
260,9,150,2279,894,99,16,7,7,7,0,3,No
261,28,151,5916,556,50,13,8,1,0,0,1,Yes
262,49,116,2089,1344,37,14,7,5,4,2,2,No
264,51,152,16792,1195,65,23,22,20,8,11,8,No
267,9,153,3564,290,65,12,8,8,7,1,7,No
269,22,120,4425,138,37,11,10,6,2,1,2,No
270,13,58,5265,926,36,16,11,5,3,0,2,No
271,28,147,6553,1261,88,14,14,1,0,0,0,No
273,28,154,6261,1084,54,18,9,7,7,1,7,No
274,31,72,4298,472,60,19,6,2,2,2,0,No
275,13,155,6804,1002,92,15,7,7,7,1,7,No
277,4,156,3815,878,43,17,5,5,3,2,0,No
281,8,157,2741,905,99,15,15,7,2,3,7,No
282,7,158,6673,1180,70,19,17,1,0,0,0,Yes
283,29,159,7639,121,35,22,10,10,4,1,9,Yes
284,9,160,2328,1136,60,16,4,4,2,2,2,No
286,5,161,2153,635,73,13,8,8,1,1,7,No
287,41,162,4876,1151,63,14,5,3,2,0,2,No
288,17,146,9396,644,97,16,17,4,2,0,3,No
291,29,6,10400,1045,32,11,14,14,8,9,8,Yes
292,52,163,8474,829,88,22,12,11,8,5,8,No
293,20,39,9981,1242,90,14,7,7,7,0,7,No
296,15,164,12490,1469,81,16,16,10,9,4,7,No
297,9,165,2657,1005,88,11,8,5,2,0,4,Yes
298,53,19,13591,896,75,18,16,1,0,0,0,No
299,20,105,6696,334,52,15,9,6,3,0,1,Yes
300,9,22,2058,992,85,14,7,6,2,1,5,Yes
302,54,45,8865,1052,57,12,23,19,7,12,8,No
303,1,37,5940,1147,52,14,16,6,2,0,5,No
304,8,166,5914,1396,62,16,16,13,11,3,7,No
305,9,2,2622,147,47,21,7,3,2,1,1,No
306,27,167,12185,663,47,14,10,10,8,0,7,No
307,29,38,10609,119,76,12,17,16,10,5,13,No
308,13,127,4345,979,90,12,6,5,4,1,4,No
309,9,74,2177,142,70,17,7,1,0,0,0,No
311,48,18,2793,319,41,17,13,9,8,5,8,No
312,21,117,7918,1413,42,14,11,11,10,4,1,No
314,21,168,8789,944,92,14,10,10,7,0,8,No
315,9,50,2389,896,86,13,4,4,3,0,1,Yes
316,3,114,3212,1323,89,15,6,2,2,2,2,No
319,16,21,19232,532,58,11,22,22,17,11,15,No
321,40,169,2267,818,52,17,7,2,2,2,2,No
323,18,6,19517,854,68,11,32,7,0,0,6,No
325,3,170,2436,813,58,13,8,5,4,0,4,Yes
327,12,171,16064,1034,80,22,22,17,13,1,9,No
328,3,113,2707,465,39,20,13,9,7,1,7,Yes
329,55,172,19068,771,79,18,33,33,7,15,12,No
330,14,122,3931,1401,56,11,6,4,3,1,2,No
331,3,173,3730,515,62,14,4,3,2,1,2,Yes
332,3,174,2232,1431,96,14,7,3,2,1,2,No
333,24,74,4465,976,100,18,4,3,2,2,2,No
334,33,175,3072,1411,36,16,17,1,0,0,0,No
335,33,176,3319,1300,62,17,9,9,8,4,7,No
336,16,36,19202,252,70,11,25,24,0,1,7,No
337,27,69,13675,1327,73,12,9,2,2,2,2,No
338,9,177,2911,832,63,13,2,2,2,0,2,No
339,28,178,5957,470,84,13,13,11,9,5,9,No
340,9,175,3920,1017,83,14,17,3,1,0,2,No
341,31,111,6434,1199,77,17,9,3,2,0,2,No
342,6,179,10048,504,61,11,17,1,0,0,0,Yes
343,37,108,10938,505,64,25,20,19,6,11,8,No
346,9,74,2340,665,60,19,6,6,5,1,5,No
347,33,165,6545,916,82,13,10,3,2,0,2,No
349,1,45,6931,1247,45,14,10,3,2,0,2,No
350,28,111,4898,685,62,12,5,4,2,1,2,No
351,3,165,2593,269,56,11,10,9,6,7,8,No
352,23,111,19436,1416,49,19,22,21,7,3,9,No
353,9,114,2723,833,96,11,1,1,0,0,0,No
355,5,180,3479,307,71,11,6,5,4,1,4,Yes
359,5,181,2794,1311,100,20,5,5,1,0,3,No
361,24,45,5249,1327,39,18,13,8,7,7,5,No
362,8,37,2176,128,84,13,9,6,2,0,4,No
363,12,77,16872,488,75,12,28,7,7,7,7,No
364,3,182,3485,529,79,11,5,0,0,0,0,Yes
366,1,183,6644,1210,78,19,10,0,0,0,0,No
367,7,184,5582,1463,64,21,10,9,0,7,8,No
369,41,185,4000,675,85,12,6,6,3,1,5,No
372,50,186,13496,1385,79,14,21,20,7,4,10,No
373,3,90,3210,1403,47,11,16,15,13,10,11,No
374,16,165,19045,452,81,14,37,36,10,4,13,No
376,56,16,11849,666,88,12,10,10,7,9,9,Yes
377,9,53,2070,1158,94,23,5,5,2,0,4,No
378,1,187,6502,228,98,14,7,5,4,0,1,No
379,9,188,3230,996,100,17,3,3,2,1,0,No
380,57,189,13603,728,80,18,15,5,2,0,2,No
381,45,190,11996,1315,71,18,10,7,7,6,2,No
382,1,191,5605,322,44,24,8,8,0,7,7,No
384,31,192,6397,1479,84,20,6,6,5,1,4,No
385,23,193,19144,797,96,14,28,10,4,1,6,No
386,58,132,17584,1070,45,16,21,5,3,1,3,No
387,1,42,4907,635,99,25,20,20,16,11,6,No
388,20,194,4554,442,44,18,10,10,7,0,9,No
389,8,70,5415,147,37,19,12,10,7,0,8,No
390,59,195,4741,496,60,13,5,5,3,3,3,No
391,9,196,2115,1372,42,12,17,17,12,5,7,No
392,5,197,3161,920,43,22,19,1,0,0,0,Yes
393,7,196,5745,688,82,14,10,2,2,1,2,No
394,3,198,2373,1449,45,13,5,3,2,0,2,Yes
395,9,199,3310,1117,66,21,5,5,3,0,2,No
396,43,200,18665,636,35,11,22,3,2,1,2,No
397,33,24,4485,506,30,12,10,8,0,7,7,No
399,48,138,2789,444,84,11,2,2,2,2,2,No
401,1,85,5828,950,48,12,8,8,7,7,4,Yes
403,4,201,2326,889,53,12,4,4,2,1,2,No
404,60,202,13525,555,77,14,23,20,4,4,8,No
405,3,174,1420,230,54,13,0,0,0,0,0,Yes
406,29,102,8020,1232,96,15,12,11,9,6,9,No
407,5,21,3688,566,81,18,4,1,0,0,0,No
408,28,144,5482,1302,84,18,13,4,1,1,2,No
410,12,203,16015,334,88,19,22,22,10,0,4,No
411,14,28,1200,812,69,12,0,0,0,0,0,No
412,7,15,5661,1476,68,19,9,8,3,0,7,No
416,1,204,6929,218,100,11,10,8,7,7,7,No
417,17,126,9613,1132,48,17,19,18,10,3,7,No
419,39,59,5674,1105,47,15,11,9,8,0,8,No
420,1,82,5484,906,91,14,13,13,8,4,8,No
421,15,10,12061,849,81,17,19,10,8,0,1,No
422,41,11,5660,390,32,13,12,5,3,1,2,No
423,9,205,4821,691,86,12,6,5,2,0,3,No
424,34,206,6410,106,62,12,9,2,2,1,0,No
425,61,207,5210,1249,97,18,24,24,9,9,11,No
426,9,131,2695,192,32,18,3,2,2,2,2,No
428,62,203,11878,553,74,11,12,10,6,8,8,No
429,30,200,17068,117,99,14,21,21,9,11,10,No
430,5,74,2455,185,33,19,9,8,7,1,7,No
431,50,89,13964,1091,90,12,25,7,1,0,7,No
433,33,208,4941,723,85,15,11,8,2,7,7,Yes
434,9,77,2478,1220,85,12,4,4,3,1,2,No
436,1,209,5228,588,65,11,13,13,12,11,9,No
437,1,210,4478,1377,74,11,5,5,4,0,4,No
438,1,45,7547,691,73,12,13,7,7,1,7,No
439,33,211,5055,1018,74,16,10,7,7,0,7,No
440,9,212,3464,1157,84,13,5,3,2,2,2,Yes
441,33,45,5775,1275,64,13,11,10,8,1,9,No
442,6,135,8943,798,48,24,10,10,9,8,9,No
444,63,74,19272,672,54,15,21,21,9,13,3,No
445,1,60,5238,1162,41,18,12,1,0,0,0,Yes
446,20,213,4682,508,46,14,9,7,7,0,1,No
447,23,147,18300,1482,42,11,21,3,2,1,1,No
448,22,214,5257,559,82,11,9,9,7,0,0,No
449,24,209,6349,210,73,13,6,5,4,1,4,No
450,2,31,4869,928,31,12,20,4,3,0,3,No
451,17,175,9985,1001,43,16,10,1,0,0,0,No
452,33,33,3697,549,75,14,12,10,9,9,8,No
453,1,215,7457,1124,57,22,6,4,3,0,2,No
454,3,216,2119,318,77,11,7,7,7,0,7,Yes
455,3,13,3983,738,30,17,4,3,2,2,2,No
456,1,217,6118,570,30,13,10,10,9,1,2,No
458,1,121,6214,1130,56,18,8,8,7,0,7,No
460,28,6,6347,1192,61,16,8,6,2,0,4,No
461,15,186,11510,343,92,14,12,11,10,2,9,No
462,10,50,7143,1232,39,14,11,11,9,4,10,No
463,1,218,8268,144,39,14,7,7,7,1,7,No
464,10,24,8095,1296,62,13,17,16,6,0,13,No
465,9,177,2904,1309,83,12,4,4,2,0,2,No
466,28,219,6032,483,95,15,8,5,4,1,2,No
467,64,69,2976,1309,99,19,5,0,0,0,0,No
468,58,220,15992,810,44,14,16,1,0,0,0,No
469,24,221,4649,746,61,14,4,4,3,0,2,No
470,40,107,2696,544,52,11,4,3,2,1,0,No
471,3,94,2370,1062,75,13,8,8,0,0,7,No
473,53,222,12504,530,91,21,15,0,0,0,0,No
474,33,223,5974,1319,51,13,13,7,7,6,7,No
475,24,224,4736,641,85,12,4,2,2,2,2,No
476,1,58,5296,933,57,17,8,8,7,7,7,No
477,7,225,6781,1332,98,23,14,1,0,0,0,No
478,48,226,2174,756,99,11,3,3,2,1,2,Yes
479,24,196,6653,845,45,15,7,1,0,0,0,No
481,21,176,9699,541,48,11,16,13,9,1,12,No
482,7,217,6755,593,88,11,15,3,2,1,2,No
483,3,4,2213,1171,46,13,10,7,7,1,7,No
484,65,227,2610,895,39,24,3,3,2,2,2,No
485,14,3,2851,350,34,13,1,1,0,0,0,Yes
486,3,20,3452,921,98,20,17,5,4,0,3,No
487,13,228,5258,1144,30,14,7,1,0,0,0,No
488,20,10,9355,143,56,18,8,8,7,7,7,Yes
491,17,45,10496,1046,100,15,20,4,3,1,3,No
492,1,229,6380,575,68,12,8,6,4,1,0,Yes
493,9,209,2657,408,42,16,3,2,2,2,2,No
494,14,24,2716,156,90,15,1,1,0,0,0,Yes
495,9,45,2201,1283,54,16,6,3,2,1,2,No
496,7,94,6540,755,97,19,10,1,1,0,0,No
497,3,203,3816,1469,82,11,5,5,2,0,4,No
498,1,117,5253,304,92,16,7,7,5,0,7,No
499,17,42,10965,1261,31,24,26,5,2,0,0,No
500,1,177,4936,1178,87,11,18,7,7,0,7,No
501,9,147,2543,329,96,13,6,2,2,2,2,No
502,24,230,5304,1362,67,13,9,5,2,0,4,Yes
505,30,205,16659,1311,97,13,30,5,4,1,2,No
507,1,156,4260,1371,77,12,5,5,2,0,3,No
508,14,122,2476,202,72,18,1,1,0,0,0,No
510,4,231,3102,575,73,22,7,6,4,0,4,Yes
511,9,5,2244,253,43,13,2,2,1,1,2,No
513,29,232,7596,164,61,13,10,10,9,9,0,No
514,4,143,2285,464,40,23,3,1,0,0,0,Yes
515,3,233,3034,1107,95,12,18,18,7,12,17,No
516,1,148,5715,759,46,12,8,5,4,1,3,No
517,3,234,2576,201,95,16,8,5,2,1,2,No
518,28,136,4197,1305,49,12,18,1,0,0,1,No
520,58,10,14336,982,59,11,25,25,10,3,9,No
521,8,235,3448,555,78,22,20,1,0,0,0,No
522,23,236,19406,821,86,11,24,4,2,1,2,No
523,24,149,6538,1381,72,15,6,3,2,1,2,No
524,28,237,4306,480,31,12,13,13,10,3,12,No
525,5,238,2258,313,61,20,8,3,2,1,2,No
526,7,89,4522,1473,74,14,8,5,2,0,2,No
527,1,239,4487,891,99,11,5,5,4,1,3,No
529,35,151,4449,1063,72,15,15,13,11,10,7,No
530,3,146,2218,329,98,12,4,4,2,3,2,No
531,63,106,19197,1218,52,14,21,21,8,1,6,No
532,60,240,13212,906,86,11,36,7,7,7,7,No
533,1,232,6577,1082,83,11,6,5,4,4,4,No
534,29,15,8392,645,49,16,10,10,7,0,7,No
536,8,95,4558,1300,79,12,10,10,0,1,8,No
538,3,241,4031,688,91,13,6,2,2,0,2,Yes
543,10,4,7969,319,39,14,28,5,4,0,4,No
544,9,242,2654,192,69,21,8,2,2,0,2,No
546,30,162,16555,1490,30,13,31,5,2,1,4,No
547,2,179,4556,532,92,11,19,5,4,0,2,No
548,28,243,6091,317,43,20,11,5,4,0,2,No
549,16,244,19566,422,41,11,33,29,8,11,10,No
550,28,245,4810,1485,87,14,19,10,7,0,8,No
551,59,116,4523,1368,88,11,7,6,5,0,4,No
554,14,246,3202,1448,62,16,6,5,3,1,4,Yes
555,48,31,2351,296,33,16,3,2,2,1,0,Yes
556,5,171,1702,1490,42,23,1,1,0,0,0,No
558,18,127,18041,1398,79,14,21,20,15,1,12,No
560,9,247,2886,1349,90,22,3,3,2,0,2,No
562,11,130,2097,1400,53,15,9,5,3,1,4,No
564,15,93,11935,986,93,18,10,10,2,0,7,No
565,9,180,2546,408,71,16,6,2,2,1,1,Yes
566,40,248,2564,489,52,12,1,1,0,0,0,Yes
567,54,72,8412,1398,69,11,10,9,8,7,8,No
568,12,211,14118,210,56,12,32,1,0,0,0,No
569,30,232,17046,1099,88,15,28,27,10,15,7,No
571,11,177,2564,1116,49,14,12,11,7,6,7,No
573,21,249,10266,1499,80,19,22,18,13,13,11,No
574,28,18,5070,983,65,13,20,5,0,0,4,No
575,58,182,17861,1009,51,13,26,3,2,0,1,No
577,3,217,4230,144,46,15,6,5,4,4,3,No
578,8,174,3780,548,42,11,19,1,0,0,0,No
579,9,217,2768,1303,62,12,14,7,3,5,7,No
580,29,205,9071,1125,94,19,15,3,2,1,2,No
581,10,250,10648,1274,33,25,13,13,8,0,8,No
582,45,251,13610,1277,56,12,15,7,6,7,7,Yes
584,3,176,3408,587,38,13,8,4,3,1,3,Yes
585,14,252,2983,413,57,14,4,3,2,1,2,No
586,17,4,7632,1276,72,12,10,8,7,0,0,No
587,37,133,9824,534,66,12,12,1,0,0,0,Yes
590,66,253,9950,988,43,15,11,3,2,0,2,Yes
591,5,41,2093,1474,97,17,8,2,2,2,0,No
592,54,254,9980,635,32,14,10,10,3,9,7,No
593,5,174,3894,1368,99,16,4,2,2,1,2,Yes
595,1,161,4051,163,37,14,14,9,7,6,7,No
597,12,255,16835,1117,83,23,37,10,9,7,7,No
599,24,45,6230,267,56,14,16,14,3,1,10,No
600,1,93,4717,619,85,11,15,11,9,6,9,No
601,67,93,13237,302,75,15,22,20,6,5,13,No
602,5,149,3755,443,48,11,8,8,3,0,7,No
604,1,256,6582,828,77,13,10,6,5,0,5,No
605,10,257,7406,319,56,21,10,10,9,5,8,No
606,1,258,4805,561,61,19,9,8,7,3,7,No
608,68,101,2741,426,58,11,8,7,7,1,0,Yes
611,28,259,4262,232,34,12,8,3,2,1,2,No
612,58,86,16184,922,95,19,10,6,1,0,5,No
613,53,260,11557,688,44,21,10,5,4,0,1,No
614,48,261,1878,1306,69,14,0,0,0,0,0,Yes
615,54,72,10932,1094,58,15,20,1,0,0,1,No
616,41,262,6811,509,62,17,10,8,7,0,7,No
618,1,133,4306,775,45,12,8,0,0,0,0,No
620,1,111,4859,195,80,16,5,5,4,0,3,No
621,1,45,5337,258,74,12,10,10,7,5,7,No
622,3,131,2340,471,66,18,1,1,0,0,0,Yes
623,10,263,7491,799,59,17,12,6,5,1,2,No
624,37,12,10527,1034,86,11,28,2,2,1,2,No
625,12,234,16595,1276,91,16,22,18,16,11,8,No
626,54,5,8834,142,69,13,9,9,5,7,7,No
630,33,264,5577,956,78,12,18,10,9,6,9,No
631,24,39,4707,1474,60,12,6,4,2,1,2,Yes
632,48,90,2400,535,38,13,3,2,2,2,1,No
634,7,174,9824,1495,76,19,18,1,0,0,0,No
635,28,190,6447,446,65,12,8,6,5,4,3,No
638,23,4,19502,1245,58,17,31,31,9,0,9,No
639,9,239,2725,691,89,11,6,6,5,1,4,No
641,1,265,6272,703,66,20,6,5,3,1,4,No
643,3,266,2127,823,94,21,1,1,0,0,0,No
644,69,10,18200,1246,99,11,32,32,5,10,7,No
645,14,93,2096,622,40,11,7,7,4,0,6,No
647,5,46,2886,1287,55,16,6,6,3,1,2,Yes
648,48,267,2033,448,74,18,1,1,0,0,0,Yes
649,9,70,3622,254,83,13,6,6,5,1,3,No
650,1,268,4233,1365,46,17,9,3,1,1,2,Yes
652,8,25,3681,538,54,14,9,3,2,0,2,No
653,1,269,5460,525,66,22,13,7,7,5,7,No
655,9,38,2187,798,66,12,6,5,3,0,3,No
656,1,270,9602,558,75,11,17,3,0,1,0,No
657,9,166,2836,959,83,13,1,1,0,0,0,No
659,7,271,4089,622,81,13,10,10,2,2,2,No
661,58,201,16627,782,50,14,21,1,0,0,0,No
662,9,240,2619,362,43,17,8,0,0,0,0,No
663,22,3,5679,1001,72,13,10,8,7,4,7,No
664,30,272,15402,1236,40,11,21,3,2,0,2,No
665,34,273,5985,1112,50,11,10,2,2,0,2,No
666,14,89,2579,204,31,18,8,8,2,0,6,No
667,14,64,3041,1420,85,11,5,4,3,0,2,Yes
669,14,174,3447,1343,49,11,3,3,2,1,2,No
